Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
23И4372,Силина Милица Яковлевна,ИВБО-47-21,Б,Ж,Курск
23И7548,Мишин Леон Артёмович,ИВБО-47-21,К,М,Саратов
22И7338,Мартынова Евдокия Семеновна,ИВБО-47-21,К,Ж,Саратов
21И8582,Никифорова Элеонора Максимовна,ИВБО-47-21,К,Ж,Красноярск
23И3580,Юлия Леонидовна Потапова,ИВБО-47-21,К,Ж,Пермь
23И7363,Нонна Станиславовна Гуляева,ИВБО-47-21,Б,Ж,Бийск
20И7448,Муравьева Анастасия Львовна,ИВБО-47-21,К,Ж,Севастополь
20И5315,Филипп Архипович Киселев,ИВБО-47-21,Б,М,Киров
20И3591,Радован Владленович Кудряшов,ИВБО-47-21,К,М,Екатеринбург
21И7456,Лыткин Климент Глебович,ИВБО-47-21,Б,М,Саранск
21И0775,Полина Игоревна Голубева,ИВБО-47-21,Б,Ж,Томск
22И2024,Суворов Савва Фомич,ИВБО-47-21,К,М,Пенза
22И5045,Филиппов Виталий Якубович,ИВБО-47-21,К,М,Луганск
22И4379,Коновалов Зосима Тарасович,ИВБО-47-21,Б,М,Пермь
23И2931,Амвросий Григорьевич Брагин,ИВБО-47-21,Б,М,Томск
21И9079,Мельникова Алина Васильевна,ИВБО-47-21,К,Ж,Курск
23И1887,Жанна Юрьевна Зуева,ИВБО-47-21,Б,Ж,Омск
21И0926,Марина Валентиновна Князева,ИВБО-47-21,К,Ж,Саранск
20И8736,Раиса Ефимовна Тарасова,ИВБО-47-21,Б,Ж,Владимир
21И1536,Мясников Данила Теймуразович,ИВБО-47-21,К,М,Новокузнецк
22И3421,Гущина Наталья Владимировна,ИВБО-47-21,Б,Ж,Владимир
20И8928,Татьяна Антоновна Субботина,ИМБО-80-20,Б,Ж,Астрахань
21И5109,Агафон Игоревич Горбунов,ИМБО-80-20,К,М,Махачкала
23И9207,Селиверстов Руслан Харлампович,ИМБО-80-20,К,М,Оренбург
22И9806,Лора Феликсовна Казакова,ИМБО-80-20,Б,Ж,Рязань
23И6335,Семен Геннадиевич Королев,ИМБО-80-20,К,М,Рязань
21И9370,Феофан Бориславович Морозов,ИМБО-80-20,Б,М,Челябинск
20И5615,Иванна Болеславовна Бирюкова,ИМБО-80-20,Б,Ж,Самара
22И2483,Ксения Михайловна Суханова,ИМБО-80-20,Б,Ж,Челябинск
20И2140,Евфросиния Вячеславовна Кириллова,ИМБО-80-20,Б,Ж,Омск
23И5041,Миронов Климент Зиновьевич,ИМБО-80-20,К,М,Казань
22И2047,Лаврентий Фомич Евсеев,ИМБО-80-20,Б,М,Оренбург
23И4704,Синклитикия Юрьевна Иванова,ИМБО-80-20,Б,Ж,Барнаул
22И4756,Щукина Ксения Степановна,ИМБО-80-20,К,Ж,Ярославль
20И0574,Олег Фёдорович Киселев,ИМБО-80-20,К,М,Иркутск
23И6100,Романова Октябрина Захаровна,ИМБО-80-20,К,Ж,Владимир
21И6713,Таисия Ниловна Фокина,ИМБО-80-20,Б,Ж,Ростов-на-Дону
22И3821,Константин Андреевич Баранов,ИМБО-80-20,К,М,Сочи
23И6931,Полина Юрьевна Блинова,ИМБО-80-20,Б,Ж,Кострома
23И5383,Русакова Эмилия Васильевна,ИМБО-80-20,Б,Ж,Владивосток
23И3365,Алексей Захарьевич Макаров,ИМБО-80-20,Б,М,Новосибирск
20И4344,Ситников Арсений Тарасович,ИМБО-80-20,Б,М,Калуга
20И1868,Беляков Панкрат Зиновьевич,ИМБО-80-20,Б,М,Астрахань
21И3820,Майя Матвеевна Беляева,ИМБО-80-20,К,Ж,Самара
20И7645,Елена Александровна Носкова,ИМБО-80-20,Б,Ж,Чита
21И8259,Емельян Евсеевич Воронцов,ИМБО-80-20,Б,М,Бийск
23И1593,Татьяна Руслановна Вишнякова,ИМБО-80-20,К,Ж,Краснодар
21И8379,Нонна Архиповна Евдокимова,ИМБО-80-20,К,Ж,Старый Оскол
23И8138,Гущина Наина Егоровна,ИМБО-80-20,К,Ж,Иркутск
23И0440,Журавлева Фаина Геннадьевна,ИМБО-80-20,К,Ж,Владимир
20И6166,Лариса Вениаминовна Беляева,ИМБО-80-20,Б,Ж,Бийск
22И1571,Бобылева Вероника Никифоровна,ИКБО-28-23,Б,Ж,Смоленск
20И3747,Анастасия Степановна Суворова,ИКБО-28-23,Б,Ж,Белгород
21И8156,Бирюкова Анна Эдуардовна,ИКБО-28-23,К,Ж,Таганрог
21И3690,Белозерова Антонина Захаровна,ИКБО-28-23,К,Ж,Киров
21И1611,Соколова Феврония Станиславовна,ИКБО-28-23,К,Ж,Нижневартовск
20И5582,Лихачева Анастасия Руслановна,ИКБО-28-23,К,Ж,Петрозаводск
21И8173,Пономарева Лидия Яковлевна,ИКБО-28-23,К,Ж,Астрахань
21И7380,Зинаида Ефимовна Третьякова,ИКБО-28-23,Б,Ж,Мариуполь
23И9513,Лидия Михайловна Беляева,ИКБО-28-23,К,Ж,Иркутск
23И0564,Серафим Якубович Колесников,ИКБО-28-23,К,М,Пермь
23И1087,Дементьев Аполлон Алексеевич,ИКБО-28-23,Б,М,Нижневартовск
21И7872,Ананий Аверьянович Кулагин,ИКБО-28-23,К,М,Донецк
20И1778,Ефремова Елизавета Григорьевна,ИКБО-28-23,К,Ж,Казань
23И7580,Морозов Самуил Георгиевич,ИКБО-28-23,К,М,Краснодар
20И5847,Федосеев Леон Даниилович,ИКБО-28-23,Б,М,Старый Оскол
21И6965,Прохорова Елизавета Юрьевна,ИКБО-28-23,К,Ж,Уфа
20И0776,Тетерина Октябрина Эдуардовна,ИКБО-28-23,Б,Ж,Нижневартовск
23И1167,Артем Филиппович Громов,ИКБО-28-23,К,М,Красноярск
22И2638,Соболев Митофан Зиновьевич,ИКБО-28-23,Б,М,Владимир
21И4535,Людмила Викторовна Рожкова,ИКБО-28-23,Б,Ж,Пенза
23И6325,Станимир Тимурович Гусев,ИКБО-28-23,К,М,Екатеринбург
23И1095,Ларионов Лука Игнатович,ИКБО-28-23,К,М,Новосибирск
20И5888,Наталья Игоревна Копылова,ИКБО-28-23,К,Ж,Тверь
22И7191,Филиппов Иннокентий Феликсович,ИКБО-28-23,К,М,Смоленск
21И0502,Соболев Демид Всеволодович,ИКБО-28-23,Б,М,Владимир
21И3968,Михаил Денисович Федотов,ИКБО-28-23,Б,М,Севастополь
23И2087,Марина Геннадиевна Белоусова,ИКБО-28-23,К,Ж,Брянск
23И2974,Онуфрий Ефимьевич Гуляев,ИКБО-28-23,К,М,Мурманск
22И0218,Радислав Вячеславович Кононов,ИКБО-28-23,К,М,Махачкала
20И7011,Евфросиния Кузьминична Пономарева,ИКБО-28-23,К,Ж,Набережные Челны
23И9184,Юлия Тарасовна Игнатова,ИНБО-49-22,Б,Ж,Курган
22И0990,Фокина Зоя Наумовна,ИНБО-49-22,Б,Ж,Курган
22И0890,Людмила Тимуровна Анисимова,ИНБО-49-22,Б,Ж,Ульяновск
23И7340,Виноградов Доброслав Давыдович,ИНБО-49-22,Б,М,Калуга
20И5777,Большаков Агафон Геннадиевич,ИНБО-49-22,Б,М,Саранск
22И3898,Костина Евфросиния Ждановна,ИНБО-49-22,Б,Ж,Севастополь
20И8158,Варфоломей Денисович Тарасов,ИНБО-49-22,К,М,Новосибирск
20И2363,Кошелева Ираида Викторовна,ИНБО-49-22,Б,Ж,Омск
20И9143,Святополк Ермолаевич Васильев,ИНБО-49-22,Б,М,Тверь
22И4903,Соколов Вячеслав Артемьевич,ИНБО-49-22,К,М,Донецк
22И2433,Дьячкова Ия Владиславовна,ИНБО-49-22,К,Ж,Ярославль
23И3555,Полина Анатольевна Колесникова,ИНБО-49-22,Б,Ж,Ангарск
22И7878,Федотова Варвара Геннадьевна,ИНБО-49-22,Б,Ж,Киров
23И8336,Зайцев Станислав Феофанович,ИНБО-49-22,Б,М,Петрозаводск
23И7269,Тарасова Нина Руслановна,ИНБО-49-22,К,Ж,Ростов-на-Дону
22И8679,Феврония Эдуардовна Ситникова,ИНБО-49-22,Б,Ж,Владикавказ
23И5718,Измаил Тарасович Беспалов,ИНБО-49-22,К,М,Оренбург
20И4904,Колесников Максим Архипович,ИНБО-49-22,К,М,Уфа
23И6409,Аксенов Юлий Иосипович,ИНБО-49-22,К,М,Иркутск
23И4087,Дементьев Фирс Викентьевич,ИНБО-49-22,К,М,Набережные Челны
20И9425,Алексей Евсеевич Волков,ИНБО-49-22,К,М,Иркутск
23И3608,Емельян Захарьевич Давыдов,ИНБО-49-22,Б,М,Петрозаводск
22И3812,тов. Никифоров Влас Давыдович,ИНБО-49-22,Б,М,Тюмень
20И6433,Матвеев Владислав Ярославович,ИНБО-49-22,Б,М,Тверь
20И8853,Лучезар Ерофеевич Ефимов,ИНБО-49-22,Б,М,Смоленск
23И0749,Макарова Марфа Васильевна,ИНБО-49-22,Б,Ж,Пенза
22И2060,Маргарита Тимуровна Гуляева,ИНБО-49-22,Б,Ж,Владивосток
20И2779,Таисия Богдановна Потапова,ИНБО-49-22,Б,Ж,Тюмень
23И9581,Белоусова Зинаида Геннадиевна,ИНБО-49-22,К,Ж,Самара
21И8295,Алевтина Вячеславовна Устинова,ИНБО-49-22,Б,Ж,Сургут
20И3798,Пестов Панфил Брониславович,ИКБО-07-23,Б,М,Тюмень
22И4682,Щербакова Вероника Львовна,ИКБО-07-23,Б,Ж,Тюмень
23И7862,Ершов Кирилл Даниилович,ИКБО-07-23,Б,М,Челябинск
22И6975,Пестов Остап Харлампович,ИКБО-07-23,Б,М,Волгоград
21И1800,Рябова Лора Антоновна,ИКБО-07-23,Б,Ж,Сургут
21И9951,Алексеев Эдуард Арсенович,ИКБО-07-23,К,М,Белгород
20И4620,Автоном Ермолаевич Мясников,ИКБО-07-23,Б,М,Волгоград
23И9739,Никанор Филиппович Журавлев,ИКБО-07-23,К,М,Чита
23И8248,Калашникова Елена Кузьминична,ИКБО-07-23,Б,Ж,Новокузнецк
21И4938,Киселев Ферапонт Власович,ИКБО-07-23,Б,М,Новороссийск
22И5443,Колобова Эмилия Вадимовна,ИКБО-07-23,К,Ж,Рязань
21И5812,Эмиль Ефремович Киселев,ИКБО-07-23,Б,М,Тюмень
20И2724,Анжелика Геннадиевна Лапина,ИКБО-07-23,К,Ж,Астрахань
22И1266,Ерофей Демьянович Прохоров,ИКБО-07-23,Б,М,Луганск
20И9091,Большаков Аристарх Бориславович,ИКБО-07-23,К,М,Кострома
23И2184,Фёкла Артемовна Ефремова,ИКБО-07-23,Б,Ж,Ярославль
20И7504,Федот Феодосьевич Кошелев,ИКБО-07-23,Б,М,Нижневартовск
20И7411,Фаина Федоровна Фадеева,ИКБО-07-23,Б,Ж,Саратов
21И3666,Ефремов Павел Харитонович,ИКБО-07-23,К,М,Магнитогорск
23И0657,Никитин Пимен Борисович,ИКБО-07-23,Б,М,Барнаул
21И3267,Сысоева Елизавета Дмитриевна,ИКБО-07-23,Б,Ж,Новокузнецк
23И1832,Харитонов Вацлав Владиленович,ИКБО-07-23,К,М,Самара
23И0353,Борис Ильясович Сазонов,ИКБО-07-23,К,М,Саранск
23И1559,Яковлева Анжелика Ефимовна,ИКБО-07-23,Б,Ж,Махачкала
23И1250,Брагина Зинаида Тимофеевна,ИКБО-07-23,Б,Ж,Белгород
22И4877,Мамонтова Иванна Александровна,ИКБО-07-23,Б,Ж,Брянск
23И8918,Быков Ярослав Харлампович,ИКБО-07-23,Б,М,Белгород
22И4137,Марфа Кузьминична Михеева,ИКБО-07-23,К,Ж,Сыктывкар
21И8310,Цветков Боян Богданович,ИКБО-07-23,Б,М,Сочи
22И3386,Волкова Тамара Петровна,ИКБО-07-23,Б,Ж,Тула
22И2844,Сигизмунд Гурьевич Федотов,ИМБО-76-22,Б,М,Москва
23И9143,Борисова Анжела Кирилловна,ИМБО-76-22,К,Ж,Ставрополь
22И9232,Ольга Альбертовна Фомичева,ИМБО-76-22,Б,Ж,Сургут
22И9127,Василий Валентинович Захаров,ИМБО-76-22,К,М,Ростов-на-Дону
20И7787,Сила Юлианович Брагин,ИМБО-76-22,Б,М,Новокузнецк
20И1158,Аполлон Абрамович Титов,ИМБО-76-22,Б,М,Махачкала
23И5237,Аникита Антонович Макаров,ИМБО-76-22,Б,М,Иркутск
20И2560,Зоя Вадимовна Бирюкова,ИМБО-76-22,Б,Ж,Курск
20И5156,Елена Никифоровна Селиверстова,ИМБО-76-22,К,Ж,Липецк
23И2005,Ларионов Станислав Гурьевич,ИМБО-76-22,К,М,Пермь
20И3684,Олег Александрович Зайцев,ИМБО-76-22,Б,М,Ижевск
23И9755,Митофан Димитриевич Фадеев,ИМБО-76-22,Б,М,Белгород
21И8847,Фома Тихонович Блинов,ИМБО-76-22,Б,М,Уфа
20И3210,Валерия Ефимовна Некрасова,ИМБО-76-22,Б,Ж,Барнаул
20И7253,Мария Ильинична Кондратьева,ИМБО-76-22,Б,Ж,Рязань
20И3531,Молчанов Ян Изотович,ИМБО-76-22,Б,М,Тюмень
21И2987,Сократ Власович Сорокин,ИМБО-76-22,К,М,Челябинск
22И4317,Дементьева Ирина Эдуардовна,ИМБО-76-22,К,Ж,Курск
20И8198,Милий Афанасьевич Быков,ИМБО-76-22,Б,М,Екатеринбург
22И7291,Воронцова Нонна Алексеевна,ИМБО-76-22,Б,Ж,Томск
22И8022,Тетерина София Аскольдовна,ИМБО-76-22,Б,Ж,Казань
21И0844,Юдин Всеслав Исидорович,ИМБО-76-22,К,М,Мурманск
23И8398,Медведева Зоя Вячеславовна,ИМБО-76-22,К,Ж,Рязань
22И7991,Глафира Архиповна Егорова,ИМБО-76-22,К,Ж,Мурманск
20И9085,Вера Леонидовна Авдеева,ИМБО-76-22,К,Ж,Екатеринбург
21И0007,Октябрина Эльдаровна Ершова,ИМБО-76-22,Б,Ж,Красноярск
23И6728,Юрий Тимурович Алексеев,ИМБО-76-22,Б,М,Старый Оскол
21И4135,Исакова Ангелина Болеславовна,ИМБО-76-22,К,Ж,Саранск
20И2541,Абрамова Дарья Эльдаровна,ИМБО-76-22,К,Ж,Петрозаводск
23И8310,Сергеева Таисия Тимофеевна,ИМБО-76-22,Б,Ж,Донецк
21И9290,Королева Ульяна Владимировна,ИЛБО-96-20,К,Ж,Ульяновск
22И7178,Харитон Эдгардович Орехов,ИЛБО-96-20,Б,М,Тольятти
21И5074,Ерофей Гертрудович Петров,ИЛБО-96-20,Б,М,Воронеж
23И1500,Иванна Васильевна Рогова,ИЛБО-96-20,К,Ж,Уфа
23И2964,Назар Глебович Назаров,ИЛБО-96-20,Б,М,Волгоград
22И4899,Агата Юльевна Авдеева,ИЛБО-96-20,Б,Ж,Иркутск
23И5774,Бобылев Флорентин Ефимович,ИЛБО-96-20,Б,М,Мариуполь
21И0377,Казаков Кирилл Алексеевич,ИЛБО-96-20,Б,М,Ярославль
22И7630,Горбачев Велимир Иларионович,ИЛБО-96-20,Б,М,Калининград
21И3376,Шашков Остромир Якубович,ИЛБО-96-20,К,М,Набережные Челны
20И1427,Воронцова Лукия Робертовна,ИЛБО-96-20,К,Ж,Самара
20И7479,Аполлон Геннадиевич Никифоров,ИЛБО-96-20,Б,М,Владивосток
21И2568,Сазонов Алексей Адрианович,ИЛБО-96-20,Б,М,Челябинск
23И8505,Адам Димитриевич Агафонов,ИЛБО-96-20,Б,М,Архангельск
20И8657,Евдокия Федоровна Фомина,ИЛБО-96-20,К,Ж,Ангарск
20И0977,Лонгин Венедиктович Гришин,ИЛБО-96-20,К,М,Донецк
22И2939,Сидор Борисович Дроздов,ИЛБО-96-20,Б,М,Барнаул
22И1014,Ильина Елизавета Рудольфовна,ИЛБО-96-20,Б,Ж,Севастополь
23И5635,Тимофеева Таисия Леоновна,ИЛБО-96-20,Б,Ж,Донецк
20И3740,Беспалов Мирон Игоревич,ИЛБО-96-20,Б,М,Ангарск
21И9552,Дьячкова Мария Эдуардовна,ИЛБО-96-20,Б,Ж,Волгоград
20И3899,Юлиан Фокич Стрелков,ИЛБО-96-20,Б,М,Хабаровск
21И5949,Рябов Евстафий Теймуразович,ИЛБО-96-20,Б,М,Брянск
22И2787,Жуков Любомир Адрианович,ИЛБО-96-20,К,М,Курган
20И9003,Воронцов Руслан Харлампьевич,ИЛБО-96-20,К,М,Москва
22И0206,Валерия Мироновна Медведева,ИЛБО-96-20,Б,Ж,Тюмень
21И5932,Прохор Борисович Овчинников,ИЛБО-96-20,Б,М,Нижневартовск
22И7188,Раиса Юрьевна Яковлева,ИЛБО-96-20,К,Ж,Саратов
23И7375,Нонна Егоровна Соболева,ИЛБО-96-20,Б,Ж,Тула
23И8708,Наталья Ефимовна Лапина,ИЛБО-96-20,Б,Ж,Сыктывкар
22И3560,Колобова Анна Анатольевна,ИКБО-47-22,Б,Ж,Сыктывкар
23И6859,Фрол Дорофеевич Семенов,ИКБО-47-22,Б,М,Набережные Челны
22И6309,Оксана Харитоновна Панова,ИКБО-47-22,К,Ж,Ростов-на-Дону
22И5735,Иванна Михайловна Архипова,ИКБО-47-22,К,Ж,Махачкала
20И9679,Любовь Захаровна Максимова,ИКБО-47-22,Б,Ж,Барнаул
23И1473,Галактион Дорофеевич Субботин,ИКБО-47-22,К,М,Барнаул
22И6107,Игнатов Аким Валентинович,ИКБО-47-22,К,М,Хабаровск
20И4735,г-жа Ермакова Оксана Робертовна,ИКБО-47-22,К,Ж,Пермь
20И9785,Попов Викторин Анисимович,ИКБО-47-22,К,М,Липецк
23И0264,Аскольд Елизарович Муравьев,ИКБО-47-22,К,М,Нижневартовск
23И7758,Валерия Рудольфовна Шашкова,ИКБО-47-22,К,Ж,Астрахань
21И0023,Вероника Филипповна Вишнякова,ИКБО-47-22,Б,Ж,Чита
20И5989,Бирюков Светозар Арсенович,ИКБО-47-22,Б,М,Архангельск
23И6965,Комаров Корнил Тихонович,ИКБО-47-22,Б,М,Набережные Челны
23И1286,Синклитикия Мироновна Морозова,ИКБО-47-22,Б,Ж,Воронеж
21И1186,Евсей Августович Никитин,ИКБО-47-22,К,М,Пенза
21И3274,Фролова Анна Антоновна,ИКБО-47-22,К,Ж,Омск
22И1165,Агап Устинович Носов,ИКБО-47-22,К,М,Нижний Новгород
20И8211,Филимон Изотович Молчанов,ИКБО-47-22,К,М,Севастополь
21И7965,Прохор Давыдович Ларионов,ИКБО-47-22,К,М,Калининград
22И0847,Молчанова Алевтина Робертовна,ИКБО-47-22,Б,Ж,Магнитогорск
21И5961,Аксенова Ксения Эльдаровна,ИКБО-47-22,Б,Ж,Барнаул
21И6956,Ульяна Григорьевна Гордеева,ИКБО-47-22,Б,Ж,Челябинск
23И3194,София Кузьминична Комарова,ИКБО-47-22,К,Ж,Ростов-на-Дону
23И1933,Горбунов Давыд Федотович,ИКБО-47-22,Б,М,Ростов-на-Дону
22И7443,Пономарев Савва Захарьевич,ИКБО-47-22,Б,М,Саратов
22И6520,Наумов Арсений Ерофеевич,ИКБО-47-22,К,М,Белгород
23И1473,Самуил Зиновьевич Андреев,ИКБО-47-22,Б,М,Саранск
22И1111,Всеслав Августович Капустин,ИКБО-47-22,Б,М,Белгород
22И4796,София Владиславовна Афанасьева,ИКБО-47-22,К,Ж,Ангарск
20И6835,Романов Аполлинарий Эдгардович,ИВБО-91-20,Б,М,Архангельск
21И4854,Ираида Тимофеевна Смирнова,ИВБО-91-20,Б,Ж,Владимир
